titulo,precio,lanzamiento,clasificacion,multijugador,nombre,fecha_lanzamiento,exclusivo,calificacion_media
Test Drive Unlimited,18.48,2020-05-31,M (Mature),True,FPS,2024-02-24,False,1.18
Dragon Ball Z: Budokai Tenkaichi 2,14.15,2022-02-22,E (Everyone),True,RPG,2018-07-16,True,3.85
Dragon Quest Monsters: Joker,51.08,2022-07-12,AO (Adults Only),True,RPG,2020-10-06,False,2.91
Pirates of the Caribbean: Dead Man's Chest,71.11,2023-07-18,EC (Early Childhood),False,Multiplayer,2014-12-11,False,4.15
NFL Street 3,62.44,2023-05-27,T (Teen),False,MMORPG,2021-06-19,False,1.52
Syphon Filter: Dark Mirror,80.03,2018-05-02,E10+ (Everyone 10 and Older),True,FPS,2015-11-30,False,3.36
NBA 07,99.22,2023-05-18,RP (Rating Pending),False,Action,2020-10-31,True,2.1
Ridge Racer 7,34.15,2019-12-10,T (Teen),False,MOBA,2016-11-12,False,1.42
The Outfit,79.3,2019-06-18,EC (Early Childhood),False,Multiplayer,2018-10-28,True,2.13
Elebits,41.72,2021-12-01,E (Everyone),False,Action,2017-11-27,False,4.06
Tony Hawk's Downhill Jam,25.28,2017-05-08,AO (Adults Only),True,Multiplayer,2014-09-01,True,3.85
The Sims 2: Pets,39.47,2015-07-29,E10+ (Everyone 10 and Older),False,Aventura,2024-03-24,True,4.46
Tiger Woods PGA Tour 07,89.02,2023-04-27,AO (Adults Only),True,MOBA,2015-01-20,True,4.47
Thrillville,74.15,2023-09-13,EC (Early Childhood),True,Multiplayer,2019-01-06,True,3.08
The Godfather: The Game,61.41,2022-08-22,RP (Rating Pending),False,MMORPG,2022-06-05,True,3.88
Rampage: Total Destruction,14.51,2022-03-02,AO (Adults Only),False,Estrategia,2020-05-26,False,3.41
College Hoops 2K7,62.47,2017-11-19,T (Teen),False,RPG,2014-05-14,True,3.11
Far Cry: Instincts - Predator,68.31,2019-07-31,RP (Rating Pending),True,Estrategia,2022-05-22,True,4.5
Full Auto,32.61,2019-01-28,E10+ (Everyone 10 and Older),True,Action,2019-05-17,False,4.54
Age of Empires: The Age of Kings,72.57,2022-06-27,AO (Adults Only),False,Aventura,2020-07-14,False,4.74
Need for Speed: Carbon - Own the City,83.61,2021-07-28,AO (Adults Only),True,MOBA,2018-11-16,False,3.04
Brothers in Arms: D-Day,27.77,2020-11-28,EC (Early Childhood),False,RPG,2019-07-16,True,1.71
Family Guy Video Game!,23.86,2018-12-05,AO (Adults Only),True,Action,2014-05-30,True,1.2
Superman Returns,84.55,2019-11-27,RP (Rating Pending),True,RPG,2016-11-10,True,2.08
Over G Fighters,20.51,2019-10-29,AO (Adults Only),True,MMORPG,2021-06-04,False,4.32
Final Fantasy XI Online,97.87,2016-02-08,AO (Adults Only),True,FPS,2020-03-08,True,1.48
Mystery Dungeon: Shiren the Wanderer,98.57,2021-03-10,E10+ (Everyone 10 and Older),True,FPS,2015-09-26,False,1.77
Phoenix Wright: Ace Attorney - Justice for All,43.34,2020-01-20,E (Everyone),True,Aventura,2022-07-10,False,1.26
Justice League Heroes,46.35,2018-06-08,RP (Rating Pending),False,FPS,2023-10-05,True,2.18
Valhalla Knights,39.31,2014-05-04,AO (Adults Only),False,Action,2016-11-11,True,3.55
Genji: Days of the Blade,47.26,2022-04-18,E (Everyone),False,MOBA,2017-01-20,False,2.0
Top Spin 2,78.09,2015-10-20,M (Mature),False,RPG,2017-04-12,True,4.22
Field Commander,66.07,2019-03-27,RP (Rating Pending),True,Aventura,2015-12-29,True,1.85
Children of Mana,73.81,2023-04-03,T (Teen),False,Multiplayer,2022-02-17,False,3.72
Valkyrie Profile: Lenneth,42.49,2022-03-15,M (Mature),False,Action,2018-09-23,True,4.14
Monster House,47.55,2014-07-17,T (Teen),True,MMORPG,2019-07-04,False,1.83
Enchanted Arms,30.99,2021-12-18,E10+ (Everyone 10 and Older),False,MMORPG,2017-11-15,True,3.91
NHL 07,52.66,2022-11-26,AO (Adults Only),False,Action,2014-04-24,False,1.82
Bust-a-Move Deluxe,78.95,2022-02-22,EC (Early Childhood),True,Multiplayer,2018-05-25,True,2.03
Full Auto 2: Battlelines,42.58,2016-06-26,T (Teen),True,MOBA,2017-05-26,False,2.4
Blitz: The League,64.77,2023-03-19,EC (Early Childhood),False,Estrategia,2020-09-12,True,2.98
Star Trek Legacy,60.46,2018-04-11,EC (Early Childhood),True,Estrategia,2022-10-12,False,1.57
Eragon,17.13,2016-08-21,E10+ (Everyone 10 and Older),False,Aventura,2021-04-09,False,3.92
Master of Illusion,59.52,2021-11-01,E (Everyone),False,RPG,2021-12-03,True,3.36
Mega Man ZX,28.06,2021-04-14,M (Mature),True,Estrategia,2021-01-26,False,1.67
Untold Legends: The Warrior's Code,83.75,2015-06-16,M (Mature),True,RPG,2014-09-28,False,4.24
Super Swing Golf,47.52,2014-04-29,M (Mature),False,Estrategia,2021-10-27,True,1.7
X-Men: The Official Game,76.39,2021-10-13,T (Teen),True,RPG,2024-03-21,False,2.71
Untold Legends: Dark Kingdom,63.16,2016-07-09,RP (Rating Pending),True,Estrategia,2022-02-01,True,3.78
Happy Feet,63.91,2021-12-04,E10+ (Everyone 10 and Older),True,MMORPG,2021-03-11,False,4.84
Open Season,24.75,2017-02-07,M (Mature),True,RPG,2021-12-29,True,1.47
Dungeon Siege: Throne of Agony,38.63,2021-09-20,M (Mature),False,Action,2020-01-28,False,4.81
LocoRoco,17.81,2022-04-29,EC (Early Childhood),True,MMORPG,2015-02-03,True,2.34
Dead or Alive: Xtreme 2,36.73,2015-03-30,E (Everyone),True,MOBA,2016-03-31,False,2.24
Fuzion Frenzy 2,57.62,2023-12-10,EC (Early Childhood),False,Estrategia,2017-01-21,False,3.67
MotoGP '06,81.92,2017-10-28,E10+ (Everyone 10 and Older),False,Action,2022-04-30,True,3.95
Lumines II,33.9,2022-12-18,M (Mature),False,RPG,2015-12-03,False,2.87
Major League Baseball 2K6,68.51,2023-04-20,EC (Early Childhood),True,Multiplayer,2020-08-08,False,1.98
Star Wars: Lethal Alliance,21.18,2015-11-17,AO (Adults Only),True,FPS,2020-09-12,True,1.95
Worms: Open Warfare,81.52,2018-12-31,T (Teen),True,FPS,2014-09-25,True,3.02
Eragon,94.15,2014-08-19,M (Mature),False,Estrategia,2023-08-30,True,1.4
Metal Slug Anthology,45.48,2017-12-27,T (Teen),False,MMORPG,2022-10-05,True,3.18
Open Season,27.32,2015-12-08,E (Everyone),False,MMORPG,2017-04-12,False,1.29
Tom Clancy's Splinter Cell: Double Agent,42.38,2019-05-01,E10+ (Everyone 10 and Older),True,Multiplayer,2019-10-06,False,4.04
Avatar: The Last Airbender,22.85,2021-06-11,E (Everyone),True,Aventura,2021-06-02,False,4.75
Lemmings,99.86,2018-05-04,AO (Adults Only),False,RPG,2018-06-18,True,4.72
Mega Man Powered Up,10.79,2014-09-25,RP (Rating Pending),True,MOBA,2014-10-15,True,1.2
College Hoops 2K6,84.44,2023-11-24,E10+ (Everyone 10 and Older),False,FPS,2022-05-08,True,1.75
Dynasty Warriors 5: Empires,88.22,2014-08-17,M (Mature),True,Aventura,2014-08-31,True,3.99
Magical Starsign,97.52,2015-08-08,EC (Early Childhood),True,MMORPG,2016-05-09,False,4.06
Resident Evil: Deadly Silence,80.21,2016-11-18,E10+ (Everyone 10 and Older),True,Multiplayer,2014-07-10,True,4.13
X-Men: The Official Game,45.68,2016-12-18,E (Everyone),False,MOBA,2023-01-04,True,1.63
Cabela's African Safari,63.19,2018-11-25,T (Teen),False,FPS,2020-06-30,True,1.34
Cabela's Alaskan Adventures,68.5,2017-06-03,AO (Adults Only),True,Estrategia,2022-03-10,False,4.92
Armored Core 4,55.6,2019-06-23,E (Everyone),True,FPS,2019-11-01,True,3.51
Eragon,56.21,2018-09-27,E10+ (Everyone 10 and Older),True,FPS,2021-01-31,False,1.89
LostMagic,23.03,2017-04-17,EC (Early Childhood),False,FPS,2023-01-09,True,2.62
Magnetica,93.48,2019-05-28,M (Mature),True,FPS,2015-10-08,True,1.04
Def Jam Fight for NY: The Takeover,15.89,2019-03-18,T (Teen),True,MMORPG,2018-06-20,True,3.59
NASCAR 07,13.08,2022-10-12,RP (Rating Pending),True,RPG,2019-01-23,False,2.33
The Ant Bully,22.91,2020-07-05,E (Everyone),False,FPS,2019-06-07,False,1.56
Just Cause,53.55,2014-09-21,EC (Early Childhood),True,MMORPG,2016-04-01,False,4.3
Onechanbara: Bikini Samurai Squad,81.58,2022-08-07,M (Mature),True,Multiplayer,2018-03-30,True,4.72
Phantasy Star Universe,40.6,2020-03-06,T (Teen),True,Multiplayer,2020-11-13,False,3.88
Project Sylpheed: Arc of Deception,68.33,2017-08-08,T (Teen),True,RPG,2017-02-05,True,2.42
Winning Eleven: Pro Evolution Soccer 2007,79.89,2019-12-21,E10+ (Everyone 10 and Older),False,MOBA,2014-08-26,False,2.02
Kororinpa: Marble Mania,44.96,2015-10-31,M (Mature),True,Action,2017-05-06,False,1.23
Digimon World DS,75.98,2018-06-27,RP (Rating Pending),False,Action,2016-10-30,False,1.34
Justice League Heroes,55.28,2019-11-27,M (Mature),False,RPG,2020-04-30,False,4.79
Innocent Life: A Futuristic Harvest Moon,23.55,2021-11-22,AO (Adults Only),True,Aventura,2023-01-19,False,4.74
Power Stone Collection,97.24,2020-12-26,E (Everyone),False,MOBA,2017-01-23,True,1.91
EA Replay,79.37,2015-02-13,E10+ (Everyone 10 and Older),True,RPG,2022-10-13,True,4.18
Open Season,26.56,2014-10-19,EC (Early Childhood),True,RPG,2022-05-15,True,1.3
Samurai Warriors 2,54.57,2022-08-13,T (Teen),False,RPG,2021-08-08,False,1.75
Far Cry: Vengeance,92.07,2024-04-05,E10+ (Everyone 10 and Older),True,Estrategia,2024-03-22,False,4.51
Import Tuner Challenge,16.43,2017-03-22,RP (Rating Pending),True,Action,2019-09-02,False,4.16
Contact,84.43,2019-02-21,M (Mature),False,MMORPG,2016-06-24,False,4.6
Touch Detective,79.45,2022-10-07,M (Mature),True,FPS,2022-11-15,False,3.2
FIFA Street 2,41.9,2016-07-21,M (Mature),True,Multiplayer,2023-05-10,False,2.6
007: From Russia with Love,83.36,2014-09-02,M (Mature),True,MOBA,2018-06-15,True,4.97
PaRappa the Rapper,69.35,2022-07-06,AO (Adults Only),False,Action,2016-09-28,True,4.73
Riviera: The Promised Land,64.69,2018-11-28,AO (Adults Only),False,Multiplayer,2016-08-22,False,4.69
Samurai Warriors: State of War,65.09,2014-11-17,E10+ (Everyone 10 and Older),True,MOBA,2020-02-27,True,3.54
Viewtiful Joe: Red Hot Rumble,27.06,2018-03-01,EC (Early Childhood),False,Estrategia,2022-05-15,True,4.99
Ice Age 2: The Meltdown,54.25,2020-11-14,T (Teen),False,FPS,2019-11-09,False,2.56
Rumble Roses XX,17.74,2018-08-05,T (Teen),False,Multiplayer,2017-06-02,True,2.96
Bionicle Heroes,34.05,2021-02-18,E10+ (Everyone 10 and Older),False,Action,2020-08-19,True,1.35
Deep Labyrinth,38.56,2023-06-15,E10+ (Everyone 10 and Older),True,Estrategia,2016-06-19,False,3.14
Blade Dancer: Lineage of Light,56.71,2017-02-26,E10+ (Everyone 10 and Older),True,RPG,2023-05-14,False,2.22
Every Extend Extra,87.86,2022-06-02,M (Mature),True,MOBA,2014-06-22,True,1.34
Ultimate Ghosts 'N' Goblins,80.65,2018-01-08,M (Mature),True,MOBA,2023-05-04,False,4.48
Xiaolin Showdown,76.99,2021-03-02,T (Teen),False,MMORPG,2020-12-07,True,1.8
Bionicle Heroes,43.24,2018-12-03,E (Everyone),False,MOBA,2021-11-07,False,4.23
Bullet Witch,88.97,2017-03-31,E10+ (Everyone 10 and Older),True,Aventura,2021-10-20,True,2.45
Death Jr. II: Root of Evil,68.44,2014-10-19,RP (Rating Pending),True,Estrategia,2023-09-22,False,3.12
Alex Rider: Stormbreaker,93.51,2020-06-25,AO (Adults Only),False,Aventura,2019-09-11,False,1.01
Cartoon Network Racing,98.41,2024-04-04,M (Mature),True,FPS,2014-05-28,True,1.58
Guilty Gear: Dust Strikers,42.51,2019-07-18,T (Teen),False,Estrategia,2023-01-08,True,1.65
Gunpey DS,77.16,2020-07-20,RP (Rating Pending),True,Action,2014-06-03,True,1.64
Lara Croft Tomb Raider: Legend,94.27,2023-03-10,T (Teen),True,RPG,2019-07-18,False,4.34
Worms: Open Warfare,85.32,2018-09-30,E (Everyone),True,MOBA,2014-11-10,True,3.73
Mercury Meltdown,57.75,2021-02-14,M (Mature),True,Aventura,2022-07-30,False,3.97
MTX Mototrax,81.72,2022-09-05,AO (Adults Only),True,FPS,2015-05-19,True,2.83
Snoopy vs. the Red Baron,91.38,2016-04-19,T (Teen),True,FPS,2019-05-03,True,4.44
Super Monkey Ball Adventure,48.11,2014-05-11,AO (Adults Only),True,Action,2023-01-12,True,4.66
Ys VI: The Ark of Napishtim,18.05,2016-06-08,M (Mature),True,MOBA,2021-01-08,False,3.14
Bomberman Land Touch!,28.22,2016-10-20,EC (Early Childhood),False,Action,2022-07-09,False,3.28
Point Blank DS,16.89,2016-05-12,E (Everyone),False,FPS,2019-12-08,True,2.11
Scurge: Hive,22.65,2017-08-22,E10+ (Everyone 10 and Older),True,Aventura,2014-05-22,True,1.71
Star Trek: Tactical Assault,90.85,2016-09-13,RP (Rating Pending),True,FPS,2017-08-01,False,3.63
Tao's Adventure: Curse of the Demon Seal,49.81,2015-05-22,E (Everyone),False,Action,2020-10-03,True,1.42
Ford Bold Moves Street Racing,82.96,2017-09-12,T (Teen),True,Aventura,2014-10-31,True,2.12
Gitaroo Man Lives!,16.96,2019-02-26,RP (Rating Pending),True,RPG,2015-05-06,True,1.17
Gradius Collection,27.1,2015-02-27,M (Mature),False,FPS,2017-03-25,False,1.88
The Legend of Heroes II: Prophecy of the Moonli...,57.6,2018-04-12,M (Mature),True,Estrategia,2023-04-05,False,3.29
Pac-Man World Rally,16.37,2014-08-22,E (Everyone),False,MMORPG,2018-12-14,False,2.7
Bomberman: Act Zero,50.94,2019-01-07,M (Mature),False,FPS,2019-02-10,True,2.44
Earth Defense Force 2017,31.8,2023-04-22,RP (Rating Pending),False,Action,2019-01-17,False,4.63
WarTech: Senko no Ronde,69.88,2023-07-04,EC (Early Childhood),False,Multiplayer,2023-05-30,False,3.76
MechAssault: Phantom War,51.56,2017-10-11,EC (Early Childhood),False,Estrategia,2015-06-26,True,2.34
Astonishia Story,16.74,2019-12-23,RP (Rating Pending),True,RPG,2021-02-05,True,3.31
B-Boy,17.37,2020-03-13,M (Mature),False,MMORPG,2021-03-26,True,3.28
BattleZone,94.52,2024-01-21,T (Teen),False,Aventura,2022-06-02,True,3.54
Bounty Hounds,87.31,2018-09-29,EC (Early Childhood),False,Estrategia,2016-07-26,False,3.28
Bubble Bobble Evolution,59.84,2016-11-13,EC (Early Childhood),True,Estrategia,2018-03-12,False,2.3
MotoGP,78.4,2022-04-25,T (Teen),True,RPG,2017-03-22,False,3.36
OutRun 2006: Coast 2 Coast,20.26,2020-02-20,EC (Early Childhood),True,Estrategia,2016-10-24,True,2.32
Warhammer: Battle for Atluma,69.7,2024-02-19,M (Mature),False,Action,2015-09-05,True,1.8
SBK: Snowboard Kids,82.73,2015-07-07,M (Mature),True,Estrategia,2014-07-01,False,1.36
Tenchu: Dark Secret,32.65,2020-12-17,M (Mature),False,FPS,2016-05-23,False,4.08
Dungeon Maker: Hunting Ground,14.47,2021-08-20,EC (Early Childhood),False,Action,2021-05-13,True,3.79
Metal Gear Solid: Digital Graphic Novel,96.28,2016-05-23,AO (Adults Only),False,Action,2018-05-03,False,2.61
Star Trek: Tactical Assault,40.1,2017-02-18,AO (Adults Only),True,MOBA,2017-04-18,False,2.34
Micro Machines V4,48.06,2016-07-11,T (Teen),True,Aventura,2015-02-26,False,2.67
Platypus,19.07,2016-12-04,EC (Early Childhood),True,RPG,2018-06-06,True,2.99
Custom Robo Arena,74.35,2022-04-19,E10+ (Everyone 10 and Older),True,FPS,2019-08-06,False,3.45
Gurumin: A Monstrous Adventure,96.8,2018-08-05,EC (Early Childhood),True,Estrategia,2021-08-25,True,2.08
Spider-Man 3,66.5,2017-04-26,E (Everyone),False,RPG,2020-11-20,True,3.6
Wii Fit,98.98,2015-10-13,E10+ (Everyone 10 and Older),False,Estrategia,2021-06-26,False,3.55
Halo 3,72.57,2015-09-14,M (Mature),False,Action,2017-12-05,False,1.49
Call of Duty 4: Modern Warfare,62.14,2022-05-14,EC (Early Childhood),False,RPG,2016-03-09,False,1.44
Super Mario Galaxy,51.26,2020-05-31,EC (Early Childhood),False,MOBA,2019-05-27,False,4.67
Mario Party DS,31.42,2021-03-03,M (Mature),False,Aventura,2017-11-05,False,4.42
Mario Party 8,93.5,2023-09-27,T (Teen),False,Aventura,2017-02-10,False,1.41
Guitar Hero III: Legends of Rock,66.27,2021-11-01,E (Everyone),False,Aventura,2020-11-06,False,3.98
Link's Crossbow Training,58.65,2021-02-03,EC (Early Childhood),False,Multiplayer,2020-04-30,True,4.79
Guitar Hero III: Legends of Rock,53.74,2023-06-02,M (Mature),False,MOBA,2014-10-01,True,4.07
Assassin's Creed,72.03,2017-04-18,E (Everyone),True,MOBA,2015-03-30,False,4.13
LEGO Star Wars: The Complete Saga,96.71,2015-01-14,T (Teen),True,Aventura,2017-01-11,True,1.22
Call of Duty 4: Modern Warfare,92.91,2015-08-21,AO (Adults Only),False,Aventura,2021-12-09,False,4.27
Mario & Sonic at the Olympic Games,12.52,2019-03-03,M (Mature),True,Aventura,2020-07-21,True,4.95
LEGO Star Wars: The Complete Saga,84.9,2017-10-24,E (Everyone),False,Estrategia,2020-01-26,True,1.06
Forza Motorsport 2,33.74,2019-10-13,EC (Early Childhood),False,MOBA,2014-08-31,True,1.2
Madden NFL 08,62.47,2019-09-22,RP (Rating Pending),False,FPS,2023-04-19,True,3.82
Guitar Hero II,97.23,2015-05-20,T (Teen),True,FPS,2015-04-26,True,3.28
Rock Band,70.07,2020-09-28,AO (Adults Only),False,Estrategia,2022-03-26,True,3.73
The Legend of Zelda: Phantom Hourglass,73.09,2014-05-23,E (Everyone),True,Multiplayer,2022-09-13,False,2.09
Pokmon Mystery Dungeon: Explorers of Darkness,76.67,2021-05-12,EC (Early Childhood),True,Aventura,2023-11-07,True,2.97
Pokmon Mystery Dungeon: Explorers of Time,40.51,2015-02-06,AO (Adults Only),False,Action,2017-08-28,False,3.39
Assassin's Creed,41.31,2023-03-02,T (Teen),True,MMORPG,2015-06-18,True,4.5
Uncharted: Drake's Fortune,25.2,2021-05-26,E10+ (Everyone 10 and Older),True,MOBA,2020-07-08,True,2.19
Mass Effect,80.38,2018-04-24,E10+ (Everyone 10 and Older),False,RPG,2023-08-04,False,4.19
Cooking Mama 2: Dinner with Friends,82.53,2020-04-03,RP (Rating Pending),False,MOBA,2022-07-06,True,1.38
BioShock,28.0,2015-04-17,RP (Rating Pending),True,Action,2022-08-27,True,3.26
Super Paper Mario,99.42,2014-10-27,AO (Adults Only),False,MOBA,2016-02-23,True,4.49
Game Party,33.05,2021-06-20,E (Everyone),True,FPS,2018-02-03,True,1.18
Ratchet & Clank: Size Matters,79.37,2018-08-08,M (Mature),False,Action,2018-02-25,False,2.01
Dance Dance Revolution Hottest Party,28.71,2024-01-20,E (Everyone),False,Action,2020-08-04,False,3.06
Cooking Mama: Cook Off,90.98,2021-12-17,M (Mature),True,Estrategia,2016-06-08,True,2.78
Gran Turismo 5: Prologue,77.68,2023-02-02,RP (Rating Pending),False,MOBA,2017-03-20,True,1.32
Professor Layton and the Curious Village,29.14,2017-09-08,RP (Rating Pending),True,MMORPG,2020-08-04,False,1.5
Resident Evil 4,83.9,2018-10-22,EC (Early Childhood),False,MOBA,2017-03-21,False,4.86
The Elder Scrolls IV: Oblivion,73.0,2021-03-23,EC (Early Childhood),False,FPS,2014-08-26,False,4.3
Transformers: Autobots,59.15,2015-04-22,M (Mature),False,RPG,2022-08-25,True,2.12
Transformers: Decepticons,67.95,2014-07-01,M (Mature),True,Action,2020-03-02,False,1.99
Diddy Kong Racing DS,97.43,2015-11-21,M (Mature),False,Estrategia,2015-09-04,True,1.57
Big Brain Academy: Wii Degree,61.24,2014-11-17,E10+ (Everyone 10 and Older),False,MOBA,2014-08-08,False,4.79
Need for Speed: ProStreet,72.28,2017-04-20,M (Mature),False,RPG,2022-04-29,True,4.29
Deal or No Deal,11.5,2018-02-08,EC (Early Childhood),True,RPG,2022-08-29,True,2.26
LEGO Star Wars: The Complete Saga,50.51,2015-02-25,E10+ (Everyone 10 and Older),True,Aventura,2020-09-21,True,2.68
Sonic and the Secret Rings,12.17,2017-09-08,E10+ (Everyone 10 and Older),False,Estrategia,2015-11-17,True,1.8
The Orange Box,12.69,2014-11-02,AO (Adults Only),False,Multiplayer,2021-01-01,False,3.96
Crackdown,48.73,2015-02-28,EC (Early Childhood),False,Aventura,2017-11-26,False,2.87
Rock Band,74.8,2017-04-30,E10+ (Everyone 10 and Older),True,MOBA,2021-11-25,True,2.81
Tiger Woods PGA Tour 08,32.68,2017-11-28,E10+ (Everyone 10 and Older),True,RPG,2016-08-18,True,1.61
WWE Smackdown vs. Raw 2008,69.52,2018-07-19,EC (Early Childhood),False,FPS,2017-05-12,False,4.65
Madden NFL 08,92.48,2017-12-16,RP (Rating Pending),False,Aventura,2014-06-27,False,3.34
Call of Duty 4: Modern Warfare,10.17,2015-05-28,T (Teen),False,Action,2018-01-23,False,1.67
MySims,17.93,2017-08-23,M (Mature),True,MMORPG,2019-08-03,True,1.81
Mario Strikers Charged,47.97,2022-06-25,EC (Early Childhood),False,RPG,2016-04-03,True,2.43
Star Wars Battlefront: Renegade Squadron,35.7,2015-08-14,AO (Adults Only),False,Multiplayer,2014-09-07,False,1.57
Flash Focus: Vision Training in Minutes a Day,40.45,2014-06-21,EC (Early Childhood),False,Estrategia,2021-09-03,False,1.52
Metroid Prime 3: Corruption,56.79,2014-07-10,E10+ (Everyone 10 and Older),False,RPG,2014-12-09,False,2.03
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,75.16,2022-02-21,E10+ (Everyone 10 and Older),False,FPS,2016-02-03,False,2.61
Madden NFL 08,47.47,2017-10-04,T (Teen),False,FPS,2021-04-21,True,4.7
Ratchet & Clank Future: Tools of Destruction,50.51,2017-03-30,T (Teen),True,Action,2018-09-05,True,2.47
LEGO Star Wars: The Complete Saga,25.85,2014-05-12,RP (Rating Pending),False,Estrategia,2020-12-15,False,2.04
Rayman Raving Rabbids 2,46.84,2021-03-13,T (Teen),True,Action,2019-02-14,True,1.12
NBA 2K8 ,87.39,2021-06-20,T (Teen),True,MOBA,2016-03-09,True,3.09
Namco Museum DS,95.46,2020-06-16,E (Everyone),True,FPS,2021-01-07,True,4.28
Need for Speed: ProStreet,33.94,2016-02-09,AO (Adults Only),True,FPS,2024-02-28,False,1.3
Blazing Angels: Squadrons of WWII,11.51,2018-09-04,AO (Adults Only),False,Estrategia,2014-07-28,False,1.5
Drawn to Life,16.77,2016-04-03,RP (Rating Pending),True,Action,2017-05-12,True,3.01
EA Playground,50.07,2016-06-03,E (Everyone),True,RPG,2022-12-25,True,4.99
Major League Baseball 2K7,25.58,2015-07-31,E (Everyone),False,FPS,2018-09-28,True,1.84
Resident Evil: The Umbrella Chronicles,81.95,2020-03-25,RP (Rating Pending),True,Estrategia,2015-08-25,False,1.08
NCAA Football 08,88.09,2020-05-01,RP (Rating Pending),False,FPS,2018-09-17,False,2.56
Spectrobes,35.05,2015-05-16,E (Everyone),True,Estrategia,2021-06-02,True,2.38
The Sims 2: Castaway,21.0,2022-11-02,M (Mature),True,RPG,2016-09-02,True,2.84
WWE Smackdown vs. Raw 2008,44.59,2017-01-07,E10+ (Everyone 10 and Older),False,Aventura,2016-11-04,False,4.78
Madden NFL 08,14.56,2019-05-06,RP (Rating Pending),False,RPG,2023-10-12,True,3.25
NBA Live 08,35.04,2015-02-28,EC (Early Childhood),False,Action,2023-03-25,False,4.76
The Simpsons Game,56.02,2018-06-23,RP (Rating Pending),True,MOBA,2023-08-19,True,3.1
Ace Combat 6: Fires of Liberation,90.45,2020-01-01,RP (Rating Pending),True,Multiplayer,2023-12-02,False,1.85
Heavenly Sword,60.21,2022-07-04,EC (Early Childhood),False,Multiplayer,2019-02-18,True,2.68
Ninja Gaiden Sigma,51.25,2020-12-29,RP (Rating Pending),False,RPG,2014-07-23,False,3.92
Ben 10: Protector of the Earth,34.33,2023-12-14,M (Mature),True,FPS,2023-09-23,True,3.31
The Simpsons Game,41.23,2016-09-06,T (Teen),False,Aventura,2022-12-14,False,3.2
CrossworDS,44.18,2019-07-13,E (Everyone),True,Multiplayer,2020-08-07,False,1.48
Sonic Rush Adventure,19.09,2022-12-03,E10+ (Everyone 10 and Older),False,Action,2021-12-19,False,2.4
Tiger Woods PGA Tour 08,33.23,2019-08-15,E10+ (Everyone 10 and Older),True,FPS,2015-07-12,True,4.64
Tony Hawk's Proving Ground,58.98,2020-08-09,RP (Rating Pending),False,RPG,2018-12-06,False,2.4
Call of Duty: Roads to Victory,55.27,2022-01-08,RP (Rating Pending),False,Action,2018-05-20,True,2.44
Transformers: The Game,94.23,2016-11-26,T (Teen),True,Multiplayer,2014-04-28,True,1.01
NBA 2K8,62.87,2018-10-18,E (Everyone),False,MOBA,2016-07-31,True,1.82
Medal of Honor: Heroes 2,89.03,2016-08-27,E10+ (Everyone 10 and Older),True,Aventura,2017-12-14,True,3.74
Spider-Man 3,62.46,2019-04-10,T (Teen),False,MMORPG,2020-06-28,False,1.85
Tom Clancy's Rainbow Six: Vegas,38.99,2018-08-20,E10+ (Everyone 10 and Older),False,Aventura,2017-01-14,True,4.6
Need for Speed: ProStreet,70.99,2019-11-24,E10+ (Everyone 10 and Older),False,Aventura,2023-10-05,True,1.18
NBA LIVE 08 ,69.66,2014-08-16,M (Mature),False,Aventura,2021-10-21,False,2.28
Dance Dance Revolution Universe 2,99.82,2018-11-14,EC (Early Childhood),False,Multiplayer,2022-12-23,False,3.5
MX vs. ATV Untamed,42.26,2021-12-31,E (Everyone),False,FPS,2014-12-02,True,4.33
Final Fantasy IV,12.41,2020-09-12,M (Mature),False,FPS,2015-10-09,True,1.57
NBA Street Homecourt,18.05,2017-02-18,T (Teen),False,FPS,2022-01-13,True,1.15
The Simpsons Game,72.94,2016-11-24,M (Mature),True,MOBA,2020-09-10,False,1.13
Winter Sports: The Ultimate Challenge,91.6,2023-03-26,EC (Early Childhood),True,FPS,2019-06-09,True,2.13
WWE Smackdown vs. Raw 2008,67.44,2014-10-24,RP (Rating Pending),False,Estrategia,2020-04-19,True,3.99
Tiger Woods PGA Tour 07,46.9,2020-06-02,EC (Early Childhood),True,Multiplayer,2016-10-14,True,4.59
Crash of the Titans,85.77,2020-06-29,T (Teen),False,MOBA,2016-08-30,False,2.86
Sonic Rivals 2,17.16,2018-12-16,M (Mature),True,Aventura,2021-09-21,False,1.08
Boogie,70.65,2016-11-02,E (Everyone),True,FPS,2020-07-19,True,3.3
Medal of Honor: Airborne,92.63,2019-04-05,E10+ (Everyone 10 and Older),True,RPG,2022-02-15,True,1.23
The Sims 2: Castaway,13.33,2016-01-18,E10+ (Everyone 10 and Older),False,Aventura,2021-08-12,False,4.4
Spider-Man 3,41.35,2023-07-01,AO (Adults Only),False,MMORPG,2023-10-21,False,1.08
Lost Odyssey,12.91,2015-06-10,E (Everyone),True,Multiplayer,2020-07-25,True,3.67
Bee Movie Game,39.02,2014-07-13,M (Mature),True,RPG,2018-02-07,True,2.77
Spider-Man 3,88.22,2014-12-21,T (Teen),False,Action,2015-07-14,True,1.48
Final Fantasy Tactics,26.07,2023-11-15,AO (Adults Only),True,RPG,2015-12-21,False,1.43
